,med_age_weight,med_income_weight,month_housing_costs_weight,total_pop,med_age,med_income,month_housing_costs,Against Family/Child,Aggravated Assault,Burglary,Disorderly Conduct,Disturbing the Peace,Driving Under Influence,Drunkeness,Federal Offenses,Forgery/Counterfeit,Fraud/Embezzlement,Gambling,Homicide,Larceny,Liquor Laws,Miscellaneous Other Violations,Moving Traffic Violations,Narcotic Drug Laws,Non-Criminal Detention,Other Assaults,Pre-Delinquency,Prostitution/Allied,Rape,Receive Stolen Property,Robbery,Sex (except rape/prst),Vehicle Theft,Weapon (carry/poss),General Mental Health Program,General Mental Health Resource,Substance Abuse Program
91404,257006.4,203637088.0,12871379.0,8311.0,30.923643364216097,24502.116231500422,1548.7160389844785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91405,2445282.0,1810942078.0,104174610.0,70779.0,34.54812868223625,25585.866966190537,1471.829356164964,7.0,80.0,16.0,2.0,,103.0,,,8.0,7.0,,4.0,17.0,,89.0,21.0,64.0,1.0,35.0,,46.0,,3.0,17.0,3.0,27.0,25.0,2.0,16.0,
91406,2112173.3,-41390884763.0,-43229943888.0,60506.0,34.90849337255809,-684079.0130400291,-714473.6701814696,4.0,85.0,12.0,,,53.0,,,5.0,8.0,,2.0,9.0,,59.0,11.0,46.0,1.0,45.0,,19.0,5.0,4.0,12.0,3.0,36.0,21.0,2.0,10.0,
91407,257006.4,203637088.0,12871379.0,8311.0,30.923643364216097,24502.116231500422,1548.7160389844785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91408,257006.4,203637088.0,12871379.0,8311.0,30.923643364216097,24502.116231500422,1548.7160389844785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91409,214227.59999999998,196018254.0,9877560.0,6414.0,33.4,30561.0,1540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91411,1134929.7,967508124.0,50586490.0,31519.0,36.00779529807418,30696.0285542054,1604.9522510231923,3.0,40.0,10.0,,,42.0,,,9.0,7.0,,2.0,13.0,,42.0,15.0,47.0,,19.0,,4.0,1.0,3.0,14.0,3.0,16.0,9.0,1.0,7.0,
91412,80075.1,50624510.0,3330855.0,2243.0,35.7,22570.0,1485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
91413,181629.0,246059245.0,10652685.0,4805.0,37.8,51209.0,2217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91416,253546.19999999998,270587142.0,12329658.0,5994.0,42.3,45143.0,2057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
